	操作日期	操作月份	PB-PB*	本次单价	本次金额	累计买入金额	累计卖出金额	股票剩余资产						
0	20150914	201509	-0.15	1.087	-14900	14900	0	14900						
1	20151021	201510	-0.13	1.122	-12600	27500	0	27979.76						
2	20151120	201511	-0.05	1.255	-4700	32200	0	35996.43						
3	20151222	201512	-0.07	1.243	-6800	39000	0	42452.25						
4	20160122	201601	-0.26	1.04	-26300	65300	0	61819.18						
5	20160301	201603	-0.32	0.97	-31700	97000	0	89358.27						
6	20160331	201603	-0.23	1.064	-22700	119700	0	120717.73						
7	20160504	201605	-0.23	1.072	-22500	142200	0	144125.38						
8	20160603	201606	-0.22	1.05	-22400	164600	0	163567.59						
9	20160707	201607	-0.17	0.878	-16900	181500	0	153673.66						
10	20160808	201608	-0.07	0.911	-7400	188900	0	166849.55						
11	20160907	201609	-0.04	0.94	-4000	192900	0	176160.89						
12	20161018	201610	-0.03	0.909	-3100	196000	0	173451.33						
13	20161117	201611	-0.02	0.921	-2300	198300	0	178041.12						
14	20161219	201612	-0.02	0.92	-2400	200700	0	180247.81						
15	20170119	201701	-0.01	0.918	-600	201300	0	180455.96						
16	20170227	201702	0.028	0.943	2800	201300	2800	182570.34						
17	20170329	201703	0	0.911	-200	201500	2800	176574.95						
18	20170503	201705	-0.04	0.891	-3500	205000	2800	176198.44						
19	20170606	201706	-0.02	0.904	-2300	207300	2800	181069.24						
20	20170706	201707	0.02	0.94	2000	207300	4800	186279.96						
21	20170807	201708	0.17	1.1	17000	207300	21800	200987.19						
22	20170906	201709	0.199	1.17	19900	207300	41700	193877.29						
23	20171013	201710	0.159	1.136	15900	207300	57600	172343.24						
24	20171114	201711	0.252	1.295	25200	207300	82800	171265.23						
25	20171214	201712	0.246	1.3	24600	207300	107400	147326.49						
26	20180116	201801	0.33	1.42	33000	207300	140400	127925.85						
27	20180222	201802	0.16	1.246	16000	207300	156400	96250.43						
28	20180326	201803	0	1.093	-100	207400	156400	84531.56						
29	20180427	201804	-0.02	1.085	-2400	209800	156400	86312.85						
30	20180531	201805	-0.08	1.018	-8100	217900	156400	89082.93						
31	20180703	201807	-0.2	0.867	-19800	237700	156400	95669.25						
32	20180802	201808	-0.17	0.894	-16700	254400	156400	115348.57						
33	20180903	201809	-0.09	1.019	-9000	263400	156400	140476.73						
34	20181011	201810	-0.12	0.986	-11700	275100	156400	147627.43						
35	20181112	201811	-0.08	1.056	-7800	282900	156400	165908.08						
36	20181212	201812	-0.08	1.024	-8300	291200	156400	169180.56						
37	20190115	201901	-0.09	1.024	-9100	300300	156400	178280.56						
38	20190221	201902	0.016	1.136	1600	300300	158000	196180						
39	20190325	201903	0.085	1.211	8500	300300	166500	200632.03						
40	20190425	201904	0.228	1.413	22800	300300	189300	211298.31						
41	20190530	201905	0.093	1.222	9300	300300	198600	173436.4						
42	20190702	201907	0.236	1.418	23600	300300	222200	177654.35						
43	20190801	201908	0.22	1.41	22000	300300	244200	154652.07						
44	20190902	201909	0.215	1.445	21500	300300	265700	136990.95						
45	20191010	201910	0.337	1.624	33700	300300	299400	120260.76						
46	20191010	201910	0.337	1.624	120260.76	300300	299400	120260.76						
					1.4913%									
														
														-2000
														200
														200
														-300
														100
														500
														800
														500
														200
